Input: 10000110 |Input 7bit: x0000110| tia_word_p: 1111001 | tia_word_n: 0000100 | Diff: 117
Input: 10000111 |Input 7bit: x0000111| tia_word_p: 1111001 | tia_word_n: 0000110 | Diff: 115
Input: 10001000 |Input 7bit: x0001000| tia_word_p: 1110111 | tia_word_n: 0001000 | Diff: 111
Input: 10001001 |Input 7bit: x0001001| tia_word_p: 1110111 | tia_word_n: 0001010 | Diff: 109
Input: 10001010 |Input 7bit: x0001010| tia_word_p: 1110101 | tia_word_n: 0001000 | Diff: 109
Input: 10001011 |Input 7bit: x0001011| tia_word_p: 1110101 | tia_word_n: 0001010 | Diff: 107
Input: 10001100 |Input 7bit: x0001100| tia_word_p: 1110011 | tia_word_n: 0001100 | Diff: 103
Input: 10001101 |Input 7bit: x0001101| tia_word_p: 1110011 | tia_word_n: 0001110 | Diff: 101
Input: 10001110 |Input 7bit: x0001110| tia_word_p: 1110001 | tia_word_n: 0001100 | Diff: 101
Input: 10001111 |Input 7bit: x0001111| tia_word_p: 1110001 | tia_word_n: 0001110 | Diff: 99
Input: 10010000 |Input 7bit: x0010000| tia_word_p: 1101111 | tia_word_n: 0010000 | Diff: 95
Input: 10010001 |Input 7bit: x0010001| tia_word_p: 1101111 | tia_word_n: 0010010 | Diff: 93
Input: 10010010 |Input 7bit: x0010010| tia_word_p: 1101101 | tia_word_n: 0010000 | Diff: 93
Input: 10010011 |Input 7bit: x0010011| tia_word_p: 1101101 | tia_word_n: 0010010 | Diff: 91
Input: 10010100 |Input 7bit: x0010100| tia_word_p: 1101011 | tia_word_n: 0010100 | Diff: 87
Input: 10010101 |Input 7bit: x0010101| tia_word_p: 1101011 | tia_word_n: 0010110 | Diff: 85
Input: 10010110 |Input 7bit: x0010110| tia_word_p: 1101001 | tia_word_n: 0010100 | Diff: 85
Input: 10010111 |Input 7bit: x0010111| tia_word_p: 1101001 | tia_word_n: 0010110 | Diff: 83
Input: 10011000 |Input 7bit: x0011000| tia_word_p: 1100111 | tia_word_n: 0011000 | Diff: 79
Input: 10011001 |Input 7bit: x0011001| tia_word_p: 1100111 | tia_word_n: 0011010 | Diff: 77
Input: 10011010 |Input 7bit: x0011010| tia_word_p: 1100101 | tia_word_n: 0011000 | Diff: 77
Input: 10011011 |Input 7bit: x0011011| tia_word_p: 1100101 | tia_word_n: 0011010 | Diff: 75
Input: 10011100 |Input 7bit: x0011100| tia_word_p: 1100011 | tia_word_n: 0011100 | Diff: 71
Input: 10011101 |Input 7bit: x0011101| tia_word_p: 1100011 | tia_word_n: 0011110 | Diff: 69
Input: 10011110 |Input 7bit: x0011110| tia_word_p: 1100001 | tia_word_n: 0011100 | Diff: 69
Input: 10011111 |Input 7bit: x0011111| tia_word_p: 1100001 | tia_word_n: 0011110 | Diff: 67
Input: 10100000 |Input 7bit: x0100000| tia_word_p: 1011111 | tia_word_n: 0100000 | Diff: 63
Input: 10100001 |Input 7bit: x0100001| tia_word_p: 1011111 | tia_word_n: 0100010 | Diff: 61
Input: 10100010 |Input 7bit: x0100010| tia_word_p: 1011101 | tia_word_n: 0100000 | Diff: 61
Input: 10100011 |Input 7bit: x0100011| tia_word_p: 1011101 | tia_word_n: 0100010 | Diff: 59
Input: 10100100 |Input 7bit: x0100100| tia_word_p: 1011011 | tia_word_n: 0100100 | Diff: 55
Input: 10100101 |Input 7bit: x0100101| tia_word_p: 1011011 | tia_word_n: 0100110 | Diff: 53
Input: 10100110 |Input 7bit: x0100110| tia_word_p: 1011001 | tia_word_n: 0100100 | Diff: 53
Input: 10100111 |Input 7bit: x0100111| tia_word_p: 1011001 | tia_word_n: 0100110 | Diff: 51
